candidate_id,rank,score,reasoning
CAND_0080766,15,0.6718,"8.8y experience, currently Staff Machine Learning Engineer; hands-on retrieval/search and evaluation metrics evidence (career history mentions ""retrieval""); built production systems, owned architecture, deployed to production; JD-aligned skills: python, retrieval, milvus, lora; Tier-1/2 institute background; AI/product company background; concern: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0011687,16,0.6701,"7.8y experience, currently Senior NLP Engineer; hands-on embeddings and ranking evidence (career history mentions ""embedding""); built production systems, owned architecture, deployed to production; JD-aligned skills: retrieval, faiss, peft, ranking; Tier-1/2 institute background; concern: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0093547,17,0.6676,"Currently Senior Machine Learning Engineer (2.9y experience); hands-on embeddings and ranking evidence (career history mentions ""embedding""); built production systems, owned architecture, deployed to production; JD-aligned skills: python, retrieval, faiss, lora; Tier-1/2 institute background; AI/product company background; concern: 2.9y experience outside the JD's 5-9y target band"
CAND_0028793,18,0.6666,"7.2y experience, currently Search Engineer; hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, owned architecture, currently hands-on IC; JD-aligned skills: retrieval, pgvector, lora, learning to rank; Tier-1/2 institute background; AI/product company background; risk flag: long notice period; concern: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0041669,19,0.6643,"8.0y experience, currently Recommendation Systems Engineer; hands-on retrieval/search and embeddings evidence (career history mentions ""search engine""); built production systems, owned architecture, currently hands-on IC; JD-aligned skills: retrieval, qdrant, lora, ranking; Tier-1/2 institute background; AI/product company background; concern: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0018499,20,0.6619,"7.2y experience, currently Senior Machine Learning Engineer; hands-on embeddings and ranking evidence (career history mentions ""embedding""); built production systems, deployed to production, currently hands-on IC; JD-aligned skills: retrieval, pinecone, lora, ranking; Tier-1/2 institute background; AI/product company background; concern: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0069905,21,0.6619,"Currently Applied ML Engineer (6.6y experience); hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, currently hands-on IC; JD-aligned skills: python, retrieval, weaviate, lora; AI/product company background; concern: little production ownership or deployment evidence"
CAND_0051292,22,0.6616,"Currently Applied ML Engineer (5.2y experience); hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, owned architecture, currently hands-on IC; JD-aligned skills: rag, vector search, fine-tuning llms, ranking; Tier-1/2 institute background; AI/product company background; concern: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0068811,23,0.6609,"Currently Applied ML Engineer (8.0y experience); hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, owned architecture, on-call/monitoring ownership; JD-aligned skills: retrieval, vector search, peft, recommendation systems; Tier-1/2 institute background; AI/product company background; concern: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0088025,24,0.6589,"Staff Machine Learning Engineer with 8.6y of experience; hands-on embeddings and ranking evidence (career history mentions ""embedding""); owned architecture, currently hands-on IC; JD-aligned skills: python, retrieval, pgvector, lora; AI/product company background; concern: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0081686,25,0.6551,"Currently Search Engineer (6.0y experience); hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, owned architecture, currently hands-on IC; JD-aligned skills: python, semantic search, faiss, lora; Tier-1/2 institute background; AI/product company background; concern: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0007411,26,0.6476,"Currently Senior Machine Learning Engineer (8.0y experience); hands-on embeddings and ranking evidence (career history mentions ""embedding""); built production systems, owned architecture, deployed to production; JD-aligned skills: retrieval, vector search, fine-tuning llms, ranking; Tier-1/2 institute background; AI/product company background; risk flag: inactive recently; concern: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0046525,27,0.6468,"Senior Machine Learning Engineer with 6.1y of experience; hands-on embeddings and ranking evidence (career history mentions ""embedding""); built production systems, currently hands-on IC; JD-aligned skills: retrieval, pgvector, fine-tuning, ranking; Tier-1/2 institute background; AI/product company background; concern: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0053591,28,0.6447,"AI Engineer with 5.3y of experience; hands-on retrieval/search and embeddings evidence (career history mentions ""semantic search""); built production systems, owned architecture, currently hands-on IC; JD-aligned skills: semantic search, qdrant, bm25, milvus; Tier-1/2 institute background; AI/product company background; concern: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0041610,29,0.644,"Recommendation Systems Engineer with 6.7y of experience; hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, owned architecture, on-call/monitoring ownership; JD-aligned skills: retrieval, pgvector, lora, learning to rank; Tier-1/2 institute background; AI/product company background; concern: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0060072,30,0.6432,"5.7y experience, currently Staff Machine Learning Engineer; hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, currently hands-on IC; JD-aligned skills: retrieval, pinecone, fine-tuning llms, ranking; Tier-1/2 institute background; AI/product company background; risk flag: inactive recently; concern: little production ownership or deployment evidence"
CAND_0081053,31,0.6431,"Currently NLP Engineer (5.4y experience); hands-on retrieval/search and embeddings evidence (career history mentions ""semantic search""); built production systems, on-call/monitoring ownership, currently hands-on IC; JD-aligned skills: semantic search, pgvector, lora, ranking; Tier-1/2 institute background; AI/product company background; concern: little production ownership or deployment evidence"
CAND_0094759,32,0.6389,"Currently Lead AI Engineer (8.6y experience); hands-on embeddings and ranking evidence (career history mentions ""embedding""); built production systems, currently hands-on IC; JD-aligned skills: retrieval, vector search, fine-tuning llms, ranking; Tier-1/2 institute background; AI/product company background; risk flag: inactive recently; concern: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0098846,33,0.6388,"AI Engineer with 7.6y of experience; hands-on retrieval/search and embeddings evidence (career history mentions ""search engine""); built production systems, owned architecture, on-call/monitoring ownership; JD-aligned skills: qdrant, lora, recommendation systems; Tier-1/2 institute background; AI/product company background; concern: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0074225,34,0.6387,"Machine Learning Engineer with 4.3y of experience; hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, owned architecture, currently hands-on IC; JD-aligned skills: python, retrieval, vector search, lora; Tier-1/2 institute background; AI/product company background; risk flag: long notice period; concern: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0096172,35,0.6387,"5.2y experience, currently NLP Engineer; hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, currently hands-on IC; JD-aligned skills: python, retrieval, qdrant, fine-tuning llms; Tier-1/2 institute background; AI/product company background; concern: little production ownership or deployment evidence"
CAND_0011162,36,0.6377,"Currently Recommendation Systems Engineer (5.8y experience); hands-on retrieval/search and ranking evidence (career history mentions ""retrieval""); built production systems, owned architecture, on-call/monitoring ownership; JD-aligned skills: python, retrieval, vector search, lora; Tier-1/2 institute background; AI/product company background; concern: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0058575,37,0.6372,"5.8y experience, currently AI Engineer; hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, on-call/monitoring ownership, currently hands-on IC; JD-aligned skills: rag, pinecone, recommendation systems; Tier-1/2 institute background; AI/product company background; concern: JD skills not evidenced: Python, LLM fine-tuning, evaluation metrics"
CAND_0086022,38,0.6368,"Senior Applied Scientist with 5.3y of experience; hands-on embeddings and ranking evidence (career history mentions ""embedding""); built production systems, currently hands-on IC; JD-aligned skills: retrieval, vector search, fine-tuning llms, ranking; Tier-1/2 institute background; AI/product company background; concern: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0064904,39,0.6365,"AI Engineer with 4.9y of experience; hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, on-call/monitoring ownership, currently hands-on IC; JD-aligned skills: python, retrieval, vector search, ranking; Tier-1/2 institute background; AI/product company background; concern: little production ownership or deployment evidence"
CAND_0052335,40,0.6358,"Currently Applied ML Engineer (6.4y experience); hands-on retrieval/search and embeddings evidence (career history mentions ""semantic search""); built production systems, owned architecture, currently hands-on IC; JD-aligned skills: semantic search, faiss, learning to rank; AI/product company background; concern: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0005260,41,0.6354,"5.2y experience, currently Senior NLP Engineer; hands-on embeddings and ranking evidence (career history mentions ""embedding""); built production systems, deployed to production, currently hands-on IC; JD-aligned skills: python, retrieval, pgvector, lora; Tier-1/2 institute background; AI/product company background; concern: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0081852,42,0.6329,"Senior Data Scientist with 5.9y of experience; hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, on-call/monitoring ownership, currently hands-on IC; JD-aligned skills: retrieval, vector search, lora, recommendation systems; Tier-1/2 institute background; AI/product company background; concern: little production ownership or deployment evidence"
CAND_0052682,43,0.6322,"NLP Engineer with 6.6y of experience; hands-on embeddings and retrieval/search evidence (career history mentions ""embedding""); built production systems, currently hands-on IC; JD-aligned skills: python, semantic search, faiss, fine-tuning llms; Tier-1/2 institute background; AI/product company background; concern: little production ownership or deployment evidence"
CAND_0018549,44,0.6297,"Recommendation Systems Engineer with 6.8y of experience; hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, owned architecture, currently hands-on IC; JD-aligned skills: retrieval, qdrant, fine-tuning llms, recommendation systems; Tier-1/2 institute background; AI/product company background; concern: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0015578,45,0.6253,"5.4y experience, currently AI Engineer; hands-on retrieval/search and embeddings evidence (career history mentions ""search engine""); built production systems, currently hands-on IC; JD-aligned skills: rag, pinecone, lora, ranking; Tier-1/2 institute background; AI/product company background; concern: little production ownership or deployment evidence"
CAND_0042506,46,0.6253,"4.2y experience, currently Search Engineer; hands-on retrieval/search and embeddings evidence (career history mentions ""search engine""); built production systems, currently hands-on IC; JD-aligned skills: retrieval, pgvector, fine-tuning llms, ranking; Tier-1/2 institute background; concern: little production ownership or deployment evidence"
CAND_0057563,47,0.6246,"6.8y experience, currently NLP Engineer; hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, owned architecture, currently hands-on IC; JD-aligned skills: retrieval, faiss, lora, recommendation systems; Tier-1/2 institute background; AI/product company background; concern: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0079064,48,0.6236,"Senior Data Scientist with 5.2y of experience; hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, currently hands-on IC; JD-aligned skills: semantic search, pinecone, fine-tuning llms, ranking; strong CS/AI/ML education background; risk flag: long notice period; concern: little production ownership or deployment evidence"
CAND_0074735,49,0.6214,"Currently Applied ML Engineer (5.5y experience); hands-on retrieval/search and embeddings evidence (career history mentions ""search engine""); built production systems, on-call/monitoring ownership, currently hands-on IC; JD-aligned skills: retrieval, vector search, ranking, weaviate; Tier-1/2 institute background; AI/product company background; concern: little production ownership or deployment evidence"
CAND_0011432,50,0.6212,"Currently Senior Data Scientist (7.6y experience); hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, owned architecture, currently hands-on IC; JD-aligned skills: retrieval, pgvector, lora, recommendation systems; AI/product company background; concern: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0041611,51,0.6201,"Currently Staff Machine Learning Engineer (6.4y experience); hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, owned architecture, on-call/monitoring ownership; JD-aligned skills: retrieval, pgvector, fine-tuning llms, ranking; strong CS/AI/ML education background; AI/product company background; risk flag: inactive recently; gap: low recruiter response rate (0.07)"
CAND_0054123,52,0.6201,"Currently Applied ML Engineer (4.7y experience); hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, currently hands-on IC; JD-aligned skills: python, semantic search, vector search, fine-tuning llms; Tier-1/2 institute background; AI/product company background; gap: little production ownership or deployment evidence"
CAND_0044855,53,0.6192,"Senior Data Scientist with 6.6y of experience; hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, currently hands-on IC; JD-aligned skills: retrieval, vector search, lora, learning to rank; AI/product company background; gap: little production ownership or deployment evidence"
CAND_0061265,54,0.6184,"Currently Recommendation Systems Engineer (6.6y experience); hands-on retrieval/search and ranking evidence (career history mentions ""retrieval""); built production systems, owned architecture, on-call/monitoring ownership; JD-aligned skills: retrieval, vector search, lora, learning to rank; Tier-1/2 institute background; AI/product company background; risk flag: long notice period; gap: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0007009,55,0.6179,"7.9y experience, currently Recommendation Systems Engineer; hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, currently hands-on IC; JD-aligned skills: python, rag, weaviate, lora; Tier-1/2 institute background; gap: little production ownership or deployment evidence"
CAND_0029367,56,0.6164,"Senior Data Scientist with 5.7y of experience; hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, currently hands-on IC; JD-aligned skills: rag, vector search, lora, ranking; AI/product company background; gap: little production ownership or deployment evidence"
CAND_0030953,57,0.6162,"Currently Search Engineer (7.8y experience); hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, owned architecture, currently hands-on IC; JD-aligned skills: python, retrieval, pgvector, learning to rank; Tier-1/2 institute background; AI/product company background; gap: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0042029,58,0.6152,"Currently Senior Data Scientist (6.5y experience); hands-on retrieval/search and embeddings evidence (career history mentions ""semantic search""); built production systems, owned architecture, currently hands-on IC; JD-aligned skills: semantic search, faiss, learning to rank; AI/product company background; gap: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0030031,59,0.613,"AI Engineer with 5.7y of experience; hands-on retrieval/search and embeddings evidence (career history mentions ""search engine""); built production systems, owned architecture, on-call/monitoring ownership; JD-aligned skills: python, retrieval, vector search, lora; Tier-1/2 institute background; AI/product company background; gap: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0007412,60,0.6114,"7.4y experience, currently Applied ML Engineer; hands-on retrieval/search and embeddings evidence (career history mentions ""search engine""); built production systems, owned architecture, currently hands-on IC; JD-aligned skills: rag, pinecone, bm25, milvus; Tier-1/2 institute background; AI/product company background; risk flag: long notice period; gap: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0010257,61,0.6112,"6.5y experience, currently Senior Data Scientist; hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, owned architecture, on-call/monitoring ownership; JD-aligned skills: python, retrieval, pgvector, recommendation systems; AI/product company background; risk flag: long notice period; gap: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0041568,62,0.6102,"Currently Search Engineer (5.2y experience); hands-on retrieval/search and embeddings evidence (career history mentions ""search engine""); built production systems, owned architecture, currently hands-on IC; JD-aligned skills: semantic search, vector search, peft, bm25; Tier-1/2 institute background; gap: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0018722,63,0.61,"Recommendation Systems Engineer with 6.6y of experience; hands-on retrieval/search and ranking evidence (career history mentions ""retrieval""); owned architecture, currently hands-on IC; JD-aligned skills: python, retrieval, weaviate, peft; gap: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0027691,64,0.6078,"NLP Engineer with 6.5y of experience; hands-on retrieval/search and ranking evidence (career history mentions ""retrieval""); built production systems, owned architecture, on-call/monitoring ownership; JD-aligned skills: python, semantic search, weaviate, lora; Tier-1/2 institute background; gap: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0014440,65,0.6076,"Recommendation Systems Engineer with 6.4y of experience; hands-on retrieval/search and ranking evidence (career history mentions ""retrieval""); built production systems, owned architecture, on-call/monitoring ownership; JD-aligned skills: retrieval, qdrant, fine-tuning llms, recommendation systems; Tier-1/2 institute background; AI/product company background; gap: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0009024,66,0.6072,"5.2y experience, currently Search Engineer; hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, currently hands-on IC; JD-aligned skills: retrieval, qdrant, lora, recommendation systems; Tier-1/2 institute background; AI/product company background; gap: little production ownership or deployment evidence"
CAND_0020877,67,0.6027,"Currently Applied ML Engineer (5.1y experience); hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, currently hands-on IC; JD-aligned skills: retrieval, qdrant, lora, recommendation systems; Tier-1/2 institute background; AI/product company background; gap: little production ownership or deployment evidence"
CAND_0084819,68,0.6024,"Search Engineer with 4.5y of experience; hands-on retrieval/search and embeddings evidence (career history mentions ""search engine""); built production systems, owned architecture, currently hands-on IC; JD-aligned skills: retrieval, weaviate, lora, ranking; strong CS/AI/ML education background; AI/product company background; risk flag: long notice period; gap: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0075249,69,0.6014,"Applied ML Engineer with 6.2y of experience; hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, currently hands-on IC; JD-aligned skills: retrieval, pinecone, fine-tuning llms, ranking; Tier-1/2 institute background; AI/product company background; gap: little production ownership or deployment evidence"
CAND_0037566,70,0.601,"6.9y experience, currently Machine Learning Engineer; hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, currently hands-on IC; JD-aligned skills: retrieval, pinecone, lora, bm25; AI/product company background; gap: little production ownership or deployment evidence"
CAND_0065195,71,0.6003,"Currently Search Engineer (5.1y experience); hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, on-call/monitoring ownership, currently hands-on IC; JD-aligned skills: retrieval, pgvector, lora, learning to rank; Tier-1/2 institute background; AI/product company background; gap: little production ownership or deployment evidence"
CAND_0040887,72,0.6,"4.7y experience, currently Machine Learning Engineer; hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, currently hands-on IC; JD-aligned skills: python, faiss, lora, ranking; AI/product company background; gap: little production ownership or deployment evidence"
CAND_0012957,73,0.5992,"4.9y experience, currently Search Engineer; hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, owned architecture, currently hands-on IC; JD-aligned skills: python, retrieval, qdrant, fine-tuning llms; AI/product company background; risk flag: long notice period; gap: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0072660,74,0.5989,"7.1y experience, currently Machine Learning Engineer; hands-on retrieval/search and ranking evidence (career history mentions ""semantic search""); built production systems, owned architecture, on-call/monitoring ownership; JD-aligned skills: python, retrieval, pgvector, lora; Tier-1/2 institute background; AI/product company background; gap: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0096142,75,0.5986,"5.0y experience, currently Applied ML Engineer; hands-on embeddings and retrieval/search evidence (career history mentions ""embedding""); built production systems, owned architecture, currently hands-on IC; JD-aligned skills: python, rag, pinecone, lora; Tier-1/2 institute background; AI/product company background; risk flag: long notice period; gap: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0009691,76,0.5976,"Applied ML Engineer with 6.2y of experience; hands-on retrieval/search and embeddings evidence (career history mentions ""semantic search""); built production systems, currently hands-on IC; JD-aligned skills: semantic search, pinecone, fine-tuning llms, recommendation systems; AI/product company background; risk flag: long notice period; gap: little production ownership or deployment evidence"
CAND_0062247,77,0.5966,"Currently AI Engineer (7.3y experience); hands-on retrieval/search and ranking evidence (career history mentions ""retrieval""); owned architecture, currently hands-on IC; JD-aligned skills: retrieval, vector search, peft, ranking; Tier-1/2 institute background; AI/product company background; gap: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0099401,78,0.5961,"NLP Engineer with 7.7y of experience; hands-on retrieval/search and embeddings evidence (career history mentions ""search engine""); built production systems, owned architecture, on-call/monitoring ownership; JD-aligned skills: python, retrieval, qdrant, bm25; Tier-1/2 institute background; AI/product company background; gap: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0052328,79,0.5959,"Recommendation Systems Engineer with 6.5y of experience; hands-on embeddings and retrieval/search evidence (career history mentions ""embedding""); built production systems, on-call/monitoring ownership, currently hands-on IC; JD-aligned skills: python, vector search, fine-tuning llms, ranking; Tier-1/2 institute background; AI/product company background; gap: little production ownership or deployment evidence"
CAND_0099806,80,0.5955,"4.6y experience, currently AI Engineer; hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, owned architecture, currently hands-on IC; JD-aligned skills: retrieval, pgvector, lora, ranking; Tier-1/2 institute background; AI/product company background; gap: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0089552,81,0.5946,"Machine Learning Engineer with 6.0y of experience; hands-on retrieval/search and embeddings evidence (career history mentions ""semantic search""); built production systems, currently hands-on IC; JD-aligned skills: semantic search, vector search, fine-tuning llms, bm25; AI/product company background; risk flag: long notice period; gap: little production ownership or deployment evidence"
CAND_0086151,82,0.5933,"7.7y experience, currently Recommendation Systems Engineer; hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, owned architecture, currently hands-on IC; JD-aligned skills: retrieval, qdrant, lora, bm25; risk flag: long notice period; gap: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0026532,83,0.5932,"Currently Recommendation Systems Engineer (4.8y experience); hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, currently hands-on IC; JD-aligned skills: retrieval, pgvector, lora, recommendation systems; Tier-1/2 institute background; AI/product company background; gap: little production ownership or deployment evidence"
CAND_0058688,84,0.5924,"AI Engineer with 6.7y of experience; hands-on embeddings and retrieval/search evidence (career history mentions ""embedding""); built production systems, on-call/monitoring ownership, currently hands-on IC; JD-aligned skills: retrieval, milvus, lora, recommendation systems; Tier-1/2 institute background; AI/product company background; gap: thin hands-on retrieval/embedding evidence in career history"
CAND_0077285,85,0.5921,"Recommendation Systems Engineer with 5.5y of experience; hands-on embeddings and retrieval/search evidence (career history mentions ""embedding""); built production systems, owned architecture, on-call/monitoring ownership; JD-aligned skills: retrieval, pinecone, fine-tuning llms, recommendation systems; Tier-1/2 institute background; AI/product company background; gap: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0050876,86,0.5909,"Applied ML Engineer with 6.0y of experience; hands-on embeddings and ranking evidence (career history mentions ""embedding""); built production systems, owned architecture, currently hands-on IC; JD-aligned skills: python, qdrant, lora, recommendation systems; Tier-1/2 institute background; AI/product company background; gap: production claims use hedged language, suggesting support work rather than full ownership"
CAND_0014858,87,0.5886,"AI Research Engineer with 4.9y of experience; hands-on retrieval/search and ranking evidence (career history mentions ""retrieval""); built production systems, currently hands-on IC; JD-aligned skills: python, retrieval, vector search, lora; Tier-1/2 institute background; AI/product company background; risk flag: self-rated skills exceed measured assessment; gap: little production ownership or deployment evidence"
CAND_0068351,88,0.5882,"6.4y experience, currently Lead AI Engineer; hands-on retrieval/search and ranking evidence (career history mentions ""retrieval""); built production systems, owned architecture, deployed to production; JD-aligned skills: python, retrieval, pgvector, lora; Tier-1/2 institute background; AI/product company background; gap: thin hands-on retrieval/embedding evidence in career history"
CAND_0092278,89,0.5881,"6.8y experience, currently Senior NLP Engineer; hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, currently hands-on IC; JD-aligned skills: retrieval, vector search, lora, ranking; Tier-1/2 institute background; AI/product company background; risk flag: inactive recently; gap: low recruiter response rate (0.07)"
CAND_0030348,90,0.5857,"4.5y experience, currently Machine Learning Engineer; hands-on retrieval/search and embeddings evidence (career history mentions ""retrieval""); built production systems, currently hands-on IC; JD-aligned skills: python, retrieval, vector search, recommendation systems; Tier-1/2 institute background; AI/product company background; gap: little production ownership or deployment evidence; borderline top-100 inclusion"
